20/09/18 - Channel;CurrentAngular;CurrentLinear;VoltageAngular;VoltageLinear
0;1.01209511888;0.0688796577487;11.0109567425;0.0216724711607
1;1.01150614085;0.0491000499475;11.0006159089;0.0174836777925
2;1.00199800716;0.0738678963039;11.0376134544;0.0211573935639
3;1.00004991696;0.0678933069307;10.9679372291;0.0220487906867
4;0.993252430307;0.0716298183358;11.0260270544;0.0262740356295
5;1.00204704773;0.087397306362;10.9847374338;0.0320760296923
6;0.996933770467;0.0908588664853;11.0151469028;0.044321426276
7;1.00556679868;0.110391282415;11.0744924447;0.0362410004304
