26/09/18 - Channel;CurrentAngular;CurrentLinear;VoltageAngular;VoltageLinear
0;1.00747404437;0.0374851549483;11.0150659833;-0.00683016174738
1;1.001480975;0.0144102845029;10.9659765355;-0.00824294386813
2;1.00607537446;0.026214865076;11.0246171925;-0.00572051794121
3;1.00211708264;0.0137271093582;11.0359483657;-0.00131438774892
4;1.00291819842;0.100875076798;10.9883382533;0.00173934686343
5;1.00722420622;0.102560228888;11.0044086201;0.0059151071043
6;1.0080752466;0.0790294968014;11.0032709056;0.0129693526072
7;1.00485499627;0.0862653070434;10.9987469954;0.0114089937247
