08/10/18 - Channel;CurrentAngular;CurrentLinear;VoltageAngular;VoltageLinear
0;1.00097449272;0.0643214828031;10.9906533369;-0.00353566928055
1;0.985871146663;0.0328238471608;11.0436580237;-0.00515963672281
2;0.995275442791;0.0537038572483;11.0656325637;-0.000908086906439
3;0.990625295146;0.0337365573347;11.052090121;0.00277757056284
4;0.993995527987;0.0641273962332;11.0184477962;0.00400036345424
5;0.988625629763;0.101193700122;11.0129342715;0.00745454165151
6;0.983769044801;0.0878647836024;10.9824474819;0.0127528286714
7;1.00180751383;0.0724739194879;11.0237980281;0.0155613193469
