30/08/18 - Channel;CurrentAngular;CurrentLinear;VoltageAngular;VoltageLinear
0;1.01013499944;-0.000901994602694;11.017587276;0.0124736399339
1;1.00628372351;0.0249481928094;11.0072546311;0.0104077593203
2;1.00043639731;0.0238921420427;10.9917958249;0.0127552930392
3;1.01494365936;0.0474805944871;11.0283396037;0.0141595023625
4;1.00168527496;0.0872330383111;10.9930229601;0.0200640401898
5;1.00731388895;0.0945068947286;11.0204633562;0.0245203046328
6;1.00677953349;0.0901581590084;10.9981415353;0.0323112571324
7;1.01142873928;0.0980830376299;11.0028617573;0.027700164417
